[0.007, 1e-06, 'ResNet50', '999', '0.43770153157270464', '0.5080209121067922'],
[0.007, 1e-06, 'ResNet50', '14999', '0.6890614588306994', '0.6151715118450801'],
[0.007, 1e-06, 'ResNet50', '13999', '0.7516755506993873', '0.5976067321642268'],
[0.005, 1e-06, 'ResNet50', '999', '0.5154476216264582', '0.4947062917548412'],
[0.007, 1e-06, 'ResNet50', '12999', '0.7311518635431936', '0.6579181770549789'],
[0.007, 1e-06, 'ResNet50', '11999', '0.7574890882013101', '0.5951198815759928'],
[0.005, 1e-06, 'ResNet50', '14999', '0.6715323353602538', '0.6207941744531568'],
[0.007, 1e-06, 'ResNet50', '10999', '0.7229422026437112', '0.5998758704326368'],
[0.005, 1e-06, 'ResNet50', '13999', '0.7410488859653278', '0.6212605211104706'],
[0.007, 1e-06, 'ResNet50', '9999', '0.6841752203212015', '0.606120454129524'],
[0.005, 1e-06, 'ResNet50', '12999', '0.7255467411854575', '0.5784128113953058'],
[0.007, 1e-06, 'ResNet50', '8999', '0.694849572180086', '0.5691263120245755'],
[0.005, 1e-06, 'ResNet50', '11999', '0.6509839183480218', '0.6121934871857837'],
[0.007, 1e-06, 'ResNet50', '7999', '0.7017927066491996', '0.6327146142821027'],
[0.005, 1e-06, 'ResNet50', '10999', '0.6733229801752019', '0.5457638426317413'],
[0.007, 1e-06, 'ResNet50', '6999', '0.8039274205089277', '0.6150592379948592'],
[0.005, 1e-06, 'ResNet50', '9999', '0.6909871273873309', '0.5765612349326178'],
[0.009, 1e-06, 'ResNet50', '999', '0.13192638442522028', '0.1540669836819483'],
[0.007, 1e-06, 'ResNet50', '5999', '0.6779704746933521', '0.5656863968384689'],
[0.005, 1e-06, 'ResNet50', '8999', '0.7316510427711612', '0.6060943534220271'],
[0.007, 1e-06, 'ResNet50', '4999', '0.5654735651996262', '0.5842342060939607'],
[0.005, 1e-06, 'ResNet50', '7999', '0.689989683282669', '0.6109270772523625'],
[0.009, 1e-06, 'ResNet50', '14999', '0.6996736837089192', '0.5867265218406796'],
[0.001, 1e-06, 'ResNet50', '999', '0.037666340237406414', '0.20743559134578052'],
[0.007, 1e-06, 'ResNet50', '3999', '0.48003758166848565', '0.6502523889384804'],
[0.005, 1e-06, 'ResNet50', '6999', '0.7387543923725562', '0.6209791721554188'],
[0.009, 1e-06, 'ResNet50', '13999', '0.7351558871990166', '0.6269870089738048'],
[0.02, 1e-06, 'ResNet50', '999', '0.2559590399513395', '0.47756160343194926'],
[0.005, 1e-06, 'ResNet50', '5999', '0.6742486475356197', '0.6026348477904964'],
[0.007, 1e-06, 'ResNet50', '2999', '0.39952518114357555', '0.5179929075240767'],
[0.009, 1e-06, 'ResNet50', '12999', '0.7481071697213496', '0.5893715953635924'],
[0.005, 1e-06, 'ResNet50', '4999', '0.6274241849780393', '0.5653194474687154'],
[0.007, 1e-06, 'ResNet50', '1999', '0.40030142886247677', '0.486930033618282'],
[0.001, 1e-06, 'ResNet50', '14999', '0.6532248737118922', '0.5734116976067964'],
[0.003, 1e-06, 'ResNet50', '999', '0.36082698377950334', '0.4533016308033947'],
[0.009, 1e-06, 'ResNet50', '11999', '0.7500707369414018', '0.6523346657386171'],
[0.01, 1e-06, 'ResNet50', '999', '0.027449002617736622', '0.1576569271818425'],
[0.005, 1e-06, 'ResNet50', '3999', '0.6099530096437873', '0.5880146859328015'],
[0.02, 1e-06, 'ResNet50', '14999', '0.6818633036390798', '0.603801902533058'],
[0.009, 1e-06, 'ResNet50', '10999', '0.7310619983913526', '0.6465206799901623'],
[0.001, 1e-06, 'ResNet50', '13999', '0.6340297380393578', '0.6423270520544111'],
[0.005, 1e-06, 'ResNet50', '2999', '0.5035911200545369', '0.5419403451838866'],
[0.009, 1e-06, 'ResNet50', '9999', '0.7535849917648726', '0.6533535059200367'],
[0.003, 1e-06, 'ResNet50', '14999', '0.6623286378879115', '0.5510420784402883'],
[0.02, 1e-06, 'ResNet50', '13999', '0.7089305609437064', '0.600307983054775'],
[0.001, 1e-06, 'ResNet50', '12999', '0.6411354549374276', '0.5608704534902065'],
[0.01, 1e-06, 'ResNet50', '14999', '0.7916551692813643', '0.6558270954523484'],
